This file was created using the 202607 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199209   ,4.00   ,2.86   ,4.52   ,0.61   ,2.31   ,0.46  ,-0.42   ,3.26   ,1.03  ,-0.53   ,0.36  ,-1.26  ,-0.14  ,-0.99  ,-2.20  ,-3.37  ,-2.59  ,-0.62  ,-1.10  ,-2.81  ,-3.21  ,-3.79  ,-2.15  ,-3.13  ,-2.50
199210  ,-8.87  ,-6.44  ,-5.99  ,-5.88  ,-8.06  ,-8.94  ,-7.64  ,-6.51  ,-5.80  ,-6.38  ,-6.85  ,-7.57  ,-4.97  ,-5.45  ,-4.59  ,-7.31  ,-8.28  ,-6.15  ,-4.81  ,-4.48  ,-4.49  ,-5.20  ,-5.75  ,-5.05  ,-3.50
199211  ,-1.77  ,-0.63  ,-3.36  ,-2.87  ,-1.63  ,-0.30  ,-1.89  ,-1.25  ,-0.68  ,-1.10   ,1.59   ,1.03   ,1.02   ,0.14  ,-0.40   ,3.65   ,3.76   ,1.75   ,0.76   ,1.32   ,4.15   ,2.30   ,1.90   ,1.45   ,2.02
199212   ,0.25   ,1.18   ,3.01   ,3.83   ,4.59   ,1.25   ,0.54  ,-0.26   ,2.08   ,1.63  ,-1.60  ,-1.73   ,1.13   ,1.96   ,2.00  ,-3.47  ,-3.14  ,-3.02  ,-0.99   ,0.26  ,-1.57  ,-0.70  ,-1.17  ,-1.80   ,0.60
199301  ,-3.40  ,-3.58  ,-2.50  ,-4.18  ,-2.26  ,-3.52  ,-2.10  ,-2.45  ,-0.49  ,-1.25  ,-0.56  ,-1.46  ,-3.07  ,-1.77  ,-2.00  ,-1.13  ,-0.77  ,-0.42  ,-0.93  ,-2.38   ,0.38  ,-1.02  ,-0.35  ,-0.24  ,-0.58
199302   ,5.62   ,8.16   ,7.19   ,9.56  ,10.92   ,6.71   ,5.04   ,5.67   ,4.46   ,5.51   ,3.83   ,7.46   ,4.79   ,5.56   ,4.75   ,6.04   ,5.96   ,3.98   ,4.05   ,4.85   ,4.14   ,6.42   ,3.63   ,3.95   ,2.15
199303  ,16.22  ,16.64  ,15.31  ,16.71  ,15.87  ,18.01  ,17.98  ,15.86  ,16.18  ,17.57  ,14.38  ,14.41  ,16.45  ,18.08  ,19.54  ,14.87  ,15.67  ,13.33  ,12.96  ,17.41  ,10.71  ,19.16  ,14.36  ,17.66  ,20.10
199304  ,17.83  ,19.28  ,18.08  ,18.02  ,19.89  ,17.26  ,16.82  ,18.53  ,16.79  ,20.78  ,15.79  ,15.95  ,16.95  ,18.09  ,21.11  ,13.65  ,14.46  ,16.58  ,17.00  ,19.83  ,13.08  ,16.33  ,19.48  ,18.88  ,19.34
199305  ,22.06  ,22.53  ,21.39  ,23.66  ,21.76  ,13.17  ,17.73  ,15.60  ,15.91  ,14.41   ,8.58  ,11.43  ,10.24  ,12.95  ,11.85   ,6.87   ,8.22   ,8.35   ,7.83   ,7.98   ,6.77   ,3.63   ,2.88   ,2.07  ,-0.75
199306  ,-6.44  ,-7.30  ,-7.03  ,-5.62  ,-6.57  ,-3.70  ,-5.07  ,-6.30  ,-5.58  ,-7.77  ,-6.68  ,-6.48  ,-8.26  ,-6.21  ,-5.91  ,-7.05  ,-5.65  ,-5.03  ,-4.44  ,-3.65  ,-0.85  ,-2.86  ,-4.53  ,-5.29  ,-5.46
199307   ,1.03   ,0.58   ,2.04   ,1.12   ,0.80   ,3.83   ,2.07   ,4.22   ,3.02   ,3.74   ,2.50   ,3.82   ,4.40   ,3.61   ,5.68   ,5.70   ,5.02   ,6.18   ,5.73   ,4.81   ,8.98   ,7.16   ,7.29   ,7.49   ,8.39
199308   ,0.51   ,1.26   ,1.80   ,2.56   ,1.16   ,4.90   ,3.78   ,1.36   ,2.71   ,0.91   ,2.41   ,1.21   ,2.67   ,1.87   ,2.23   ,2.43   ,2.43   ,3.33   ,1.30   ,0.67   ,2.53   ,1.93   ,1.63   ,3.83   ,3.90
199309  ,-5.71  ,-6.67  ,-1.54  ,-4.58  ,-5.81  ,-3.45  ,-3.33  ,-3.21  ,-4.56  ,-4.37  ,-2.66  ,-2.61  ,-2.86  ,-3.25  ,-5.35  ,-2.69  ,-2.64  ,-4.72  ,-4.34  ,-4.33  ,-4.28  ,-6.20  ,-6.55  ,-4.63  ,-4.73
199310  ,-8.97  ,-9.65  ,-9.33  ,-9.78  ,-9.52  ,-8.97 ,-10.14 ,-10.72 ,-10.33  ,-8.02  ,-8.87  ,-7.03  ,-8.73  ,-7.70  ,-7.11  ,-8.65  ,-7.02  ,-5.98  ,-5.52  ,-5.44  ,-2.32   ,0.19  ,-0.47  ,-1.44   ,0.62
199311 ,-16.42 ,-13.70 ,-15.33 ,-16.48 ,-14.06 ,-17.56 ,-18.22 ,-18.56 ,-19.71 ,-18.47 ,-17.25 ,-16.27 ,-18.04 ,-17.79 ,-21.34 ,-17.07 ,-15.76 ,-14.89 ,-16.03 ,-18.39 ,-15.08 ,-17.02 ,-14.08 ,-17.41 ,-14.28
199312   ,0.01  ,-0.47   ,1.28   ,1.61   ,0.57   ,0.94   ,3.05   ,1.56   ,4.57   ,2.70   ,0.82   ,2.67   ,1.90   ,2.72   ,3.87   ,0.17   ,0.10   ,2.17   ,3.33   ,2.03   ,0.49   ,2.16   ,1.40   ,3.38   ,5.70
