date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1993-08-01,-0.32,-0.35,1.87,2.09,1.66,0.64,2.67,2.13,2.94,3.3,0.93,1.8,2.27,3.11,2.93,1.72,2.37,2.05,1.71,2.27,2.99,1.68,2.46,3.03,2.43
1993-09-01,-3.38,-3.17,-3.58,-4.96,-4.38,-1.2,-3.67,-2.0,-5.97,-3.83,-5.08,-3.64,-3.16,-3.64,-2.37,-6.02,-4.33,-2.1,-4.13,-1.11,-4.05,-3.29,-3.72,-6.52,-8.52
1993-10-01,-7.62,-8.55,-9.13,-9.68,-10.35,-9.12,-8.8,-9.13,-8.67,-9.78,-7.04,-7.67,-8.57,-7.56,-7.36,-5.84,-6.79,-6.53,-5.81,-6.08,-3.78,-0.79,-0.98,1.0,-1.64
1993-11-01,-11.99,-13.59,-15.88,-16.28,-18.83,-15.63,-17.11,-16.92,-20.12,-20.94,-17.39,-18.55,-18.29,-17.32,-18.69,-14.98,-16.36,-17.09,-17.43,-16.6,-13.92,-13.9,-15.1,-16.7,-17.31
1993-12-01,-0.92,2.04,0.31,1.71,2.31,0.05,2.77,2.8,3.34,4.63,1.41,3.32,0.36,4.03,3.08,1.09,0.76,0.33,4.03,2.45,-0.39,1.17,1.44,2.74,3.85
1994-01-01,18.19,18.83,17.4,18.02,20.95,22.63,20.47,20.65,17.66,16.79,21.9,18.81,14.81,17.7,19.35,20.97,16.57,16.73,14.92,14.21,14.43,14.37,16.77,16.68,18.77
1994-02-01,4.36,6.01,5.75,7.26,6.73,3.43,3.56,5.37,7.29,6.86,3.39,4.66,5.0,4.38,7.62,3.09,4.39,5.06,7.37,5.84,2.05,2.01,3.59,3.56,5.16
1994-03-01,5.0,4.51,5.17,3.76,4.89,4.87,2.97,1.73,5.2,3.33,2.01,0.64,1.89,1.78,0.18,1.53,0.59,0.65,1.23,1.32,-1.29,-1.38,-4.62,-3.44,-3.12
1994-04-01,8.18,9.51,8.2,8.24,7.14,6.49,5.68,5.65,4.9,4.77,5.19,3.71,2.69,2.14,2.15,3.95,4.04,3.27,3.51,1.95,2.05,4.26,4.41,3.73,1.37
1994-05-01,2.0,1.79,1.8,1.38,0.6,1.64,0.35,0.62,-0.0,0.15,2.44,0.35,-0.15,-0.85,-3.42,2.24,0.99,1.1,-0.16,-0.75,2.09,1.19,1.44,2.33,2.44
