date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1994-11-01,-7.75,-7.13,-6.88,-6.69,-6.19,-7.6,-9.17,-7.49,-8.26,-8.65,-8.48,-7.45,-7.98,-8.05,-8.21,-7.32,-8.91,-5.95,-5.73,-7.59,-5.99,-4.85,-6.02,-6.73,-5.18
1994-12-01,2.37,4.72,3.24,0.21,0.93,1.95,3.81,1.39,2.42,3.01,2.5,2.66,1.19,4.12,3.71,2.31,2.76,3.21,2.37,2.6,2.57,1.72,1.69,1.11,1.56
1995-01-01,-4.63,-4.44,-6.91,-5.78,-6.22,-4.19,-5.65,-4.27,-2.11,-6.21,-3.0,-3.17,-2.86,-4.05,-7.45,-3.8,-3.61,-5.55,-5.13,-5.44,-5.42,-6.71,-7.04,-7.84,-10.06
1995-02-01,-4.88,-4.88,-5.23,-3.33,-4.34,-5.47,-6.95,-6.62,-7.55,-6.23,-8.45,-6.28,-6.38,-6.96,-6.15,-8.85,-6.7,-6.36,-4.96,-6.54,-4.33,-4.27,-6.01,-5.31,-4.14
1995-03-01,4.21,4.63,5.11,6.86,6.8,7.84,4.43,6.61,6.43,7.07,3.89,4.67,4.83,6.6,7.62,6.69,6.4,6.57,8.53,7.33,7.67,12.06,8.9,10.7,10.72
1995-04-01,3.01,1.37,1.22,0.13,1.07,0.72,2.46,2.61,1.72,2.0,2.95,1.59,2.61,2.37,3.06,3.42,4.67,3.82,3.24,3.13,6.49,4.2,4.82,3.27,1.8
1995-05-01,-8.08,-8.18,-9.19,-7.35,-6.86,-8.92,-10.74,-10.6,-9.51,-9.22,-10.03,-9.79,-9.2,-9.19,-10.06,-11.51,-8.14,-7.8,-5.15,-8.89,-4.19,-5.36,-6.55,-6.08,-8.11
1995-06-01,-8.16,-5.52,-5.44,-6.34,-4.4,-6.68,-4.28,-5.69,-3.71,-5.86,-4.67,-5.03,-4.46,-3.97,-5.16,-3.61,-6.05,-3.43,-4.07,-5.14,-5.17,-4.34,-3.7,-1.98,-2.89
1995-07-01,7.18,6.55,4.4,3.52,2.84,9.75,5.12,7.74,6.59,4.2,7.83,8.54,7.67,6.62,4.67,8.46,7.05,7.36,3.4,5.17,6.4,7.19,6.41,5.68,6.51
1995-08-01,0.95,1.27,0.49,0.17,-1.54,2.24,-1.79,3.13,2.31,-1.07,0.02,0.99,-0.48,-0.94,-2.11,0.91,1.21,-0.66,-1.38,-2.8,-3.31,-4.88,-2.6,-2.65,-1.2
