date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1994-03-01,-5.26,-4.64,-3.94,-2.34,-2.75,-2.99,-4.09,-2.97,-2.48,-1.54,-2.84,-2.15,-2.59,-1.15,-1.17,-3.5,-2.97,-1.86,-1.38,-1.25,-4.68,-4.16,-3.4,-3.21,-2.74
1994-04-01,-0.67,1.63,2.01,1.64,2.74,0.9,2.49,1.79,3.16,4.38,2.55,3.12,3.04,3.17,4.52,0.46,2.68,2.31,2.26,2.95,2.8,2.12,2.99,3.22,2.43
1994-05-01,-2.05,-1.45,-1.29,-0.57,-0.07,-1.67,-2.37,-1.01,-1.0,0.25,-1.15,-2.76,-1.04,-0.89,-0.95,-1.75,-1.31,-0.19,-0.99,-0.85,-0.32,0.36,0.34,0.48,2.17
1994-06-01,-1.07,-1.94,-1.74,-1.97,-0.23,-1.41,-1.99,-0.17,0.81,1.5,0.0,0.82,0.48,1.49,1.07,-0.35,0.18,0.04,2.18,1.17,-0.32,0.55,0.51,0.61,0.64
1994-07-01,0.4,0.0,1.65,0.59,1.24,0.29,1.44,0.32,1.39,0.89,1.73,0.99,1.86,1.4,1.54,1.68,1.84,1.64,2.46,0.97,0.85,0.73,1.63,2.92,1.26
1994-08-01,2.78,2.62,3.31,1.79,1.75,4.29,2.02,3.33,1.36,1.44,4.4,2.81,3.44,1.44,0.62,2.74,2.6,2.88,0.98,1.87,3.16,3.2,2.6,1.15,2.1
1994-09-01,0.61,0.33,0.81,0.5,1.04,-1.11,-1.45,-0.93,-0.54,-1.27,-2.01,-1.9,-3.04,-1.61,-1.87,-1.82,-2.7,-2.27,-2.74,-2.22,-2.12,-2.74,-3.25,-2.89,-3.25
1994-10-01,-0.12,0.59,0.34,0.68,0.53,1.24,0.75,0.9,0.4,0.86,1.74,0.51,1.21,1.45,0.3,2.34,1.47,1.22,0.87,0.79,2.63,2.55,3.79,3.54,2.43
1994-11-01,-5.38,-5.16,-4.38,-4.44,-4.07,-4.8,-5.52,-5.08,-4.35,-5.14,-6.16,-5.02,-4.93,-5.58,-6.43,-5.74,-6.6,-5.1,-4.73,-6.34,-3.94,-4.89,-4.84,-4.4,-4.89
1994-12-01,-1.42,-0.48,0.19,-0.22,-0.06,1.1,0.77,2.24,1.54,0.79,1.58,1.09,1.03,2.22,1.93,2.12,1.81,1.12,1.31,2.03,1.36,1.39,1.5,0.47,0.24
1995-01-01,-0.87,-0.28,-0.57,0.16,0.78,-3.53,-2.23,-2.13,-0.88,-1.51,-3.62,-3.05,-2.28,-2.55,-3.08,-2.28,-1.72,-2.32,-1.69,-2.15,-1.61,-2.21,-2.18,-1.51,-1.12
1995-02-01,1.85,1.52,2.2,2.24,2.12,0.22,2.09,1.14,0.51,1.66,1.17,1.15,0.42,0.55,0.56,1.37,1.55,0.85,0.33,0.52,0.87,1.33,0.25,0.59,2.36
1995-03-01,1.12,2.02,2.51,2.28,1.58,4.22,3.1,2.93,2.5,2.24,3.87,3.22,3.45,1.82,3.02,4.25,4.47,3.71,2.83,2.8,5.08,6.17,5.24,4.81,3.74
1995-04-01,2.47,1.27,2.89,1.39,2.52,1.28,2.03,3.19,1.66,1.79,0.67,2.1,2.2,3.02,2.65,2.12,1.97,3.51,2.98,3.2,3.27,3.68,3.25,3.04,3.34
1995-05-01,1.91,1.07,1.15,0.89,1.63,0.13,0.74,0.8,0.32,0.71,-1.18,-1.4,-1.39,-0.63,-0.5,-0.58,-0.72,-0.95,-0.45,-0.88,0.87,0.14,-0.44,1.46,2.09
1995-06-01,3.36,3.78,4.76,2.52,3.26,3.19,3.99,2.08,1.28,0.97,2.56,1.3,0.06,0.89,-0.15,3.48,0.22,1.34,0.41,0.06,0.49,-0.23,0.01,-0.27,0.52
1995-07-01,6.33,5.97,4.82,3.97,4.0,8.19,5.58,5.0,4.35,3.29,7.2,5.56,4.41,5.5,4.24,7.45,4.78,5.28,3.93,4.15,4.26,5.32,4.88,4.54,4.08
1995-08-01,2.88,2.58,1.74,1.51,0.63,0.04,-0.53,0.98,0.54,-0.02,0.71,-0.06,-1.31,-0.36,-0.69,-0.46,-0.93,-1.39,-1.37,-0.82,-1.35,-2.04,-1.78,-1.92,-0.79
1995-09-01,1.48,2.15,1.11,0.61,1.52,0.63,1.29,0.59,1.16,0.32,1.21,0.86,0.7,1.01,-0.24,2.7,0.69,-0.29,0.27,-0.0,3.32,2.26,2.02,2.52,2.22
1995-10-01,-2.06,-2.0,-3.47,-2.8,-2.37,-3.94,-3.17,-3.06,-2.88,-3.03,-2.85,-3.51,-4.54,-3.57,-3.23,-0.5,-2.87,-1.86,-1.25,-2.65,-0.65,-1.54,-1.15,-1.68,-1.64
